EMPLOYER_NAME,INITIAL_APPROVALS,TOTAL_APPLICATIONS,MEDIAN_SALARY,TOP_JOB_TITLE,TOP_STATE,APPROVAL_RATE
"Sunshine Supply Chain, Inc",1,1,90854,Business Intelligence Analyst,DE,100.0
Sunshine Technology Solutions Corp. ,1,1,96034,Sr. Business Analyst,TX,100.0
The Akshaya Patra Foundation USA,1,1,90000,Director - Corporate & Institutional Partnerships,CA,100.0
Thar Energy LLC,1,1,86653,MECHANICAL ENGINEER,PA,100.0
"Thatch Health, Inc.",1,1,190486,Lead Software Engineer,WA,100.0
"SuperAnnotate AI, Inc.",1,1,230000,Director of AI Operations,OH,100.0
Super Technology Soutions Inc.,1,1,161200,Scrum Master,NJ,100.0
Super Technology Solutions Inc.,1,1,106000,Software Developer,GA,100.0
"Super Steel, LLC",1,1,84000,Mechanical Engineer,WI,100.0
Thayer County Memorial Hospital,1,1,62629,Medical Laboratory Scientist,NE,100.0
The 9ty-Nine Corp,1,1,60466,Food Services Manager,MA,100.0
Super Evil Mega Corp,1,1,187143,Senior Gameplay Engineer,CA,100.0
Supantha Technologies Inc.,1,1,83866,Programmer,TX,100.0
The Academy of Tucson,1,1,48823,HS Math Teacher,AZ,100.0
The Act 1 Group Inc.,1,1,130000,NET Developer,CA,100.0
"Sunwave Health, Inc (formerly Sunwave Solutions, LLC)",1,1,250000,SVP - Engineering,FL,100.0
"Suntronics Led, Inc.",1,1,68000,Technical Sales Engineer,AL,100.0
"Suntisfy, Inc.",1,1,331200,Chief Financial Officer,CA,100.0
"Sunstone Asset Management, LP",1,2,137939,Senior Analyst,NY,50.0
Sunsoft Solutions Inc.,1,1,85280,Network Engineer,GA,100.0
"The Area Agency on Aging of Central Florida, Inc.",1,1,48963,Public Health Project Specialist,FL,100.0
"The Arena Platform, Inc.",1,1,191360,"Software Engineer, Level 3",CA,100.0
Sunrise Senior Living Management Inc.,1,2,80828,SCCM System Administrator (Systems Engineer),VA,50.0
"The B&P Team, LLC",1,1,99840,Marketing & Research Analyst & Social Media Management,TX,100.0
"The BOWA Group, Inc.",1,1,150000,Network & Systems Administrator,IL,100.0
"Sunland Group, Inc.",1,1,110000,Cost Engineer,TX,100.0
"Sunland Academies Aliso, Inc.",1,1,60060,Kindergarten Teacher,CA,100.0
Sunique Cabinets LLC,1,1,62400,Budget Analyst,TX,100.0
The Baptist General Convention of Texas,1,1,40000,Cross cultural specialist,TX,100.0
Sung Marin Tax Advisory LLP,1,1,150000,Tax Manager,WA,100.0
The Bartley Corporation,1,1,98900,Assistant Project Manager,MD,100.0
The Beacon Mutual Insurance Company ,1,1,118477,Technical Manager - Data Warehouse/BI,RI,100.0
The Benedictine Society of St. Bede,1,1,49941,Administrator of Intercultural Communications & Instruction,IL,100.0
"Sunels International, Inc.",1,1,73590,Cultural Exchange Program Instructional Coordinator,NJ,100.0
The Berlin Steel Construction Company,1,1,85000,Structural Connection Engineer,CT,100.0
The Best Dressed Chicken Inc.,1,1,81162,Quality Compliance Manager,SC,100.0
Suncor Energy (U.S.A.) Inc.,1,1,125000,Sr. Process Safety Engineer-KBGFJG369740-1,CO,100.0
"Sunco Lighting, Inc.",1,1,80558,Quality Control Manager,CA,100.0
Sunbow Enterprises LLC,1,1,209000,Data Scientist,NY,100.0
Sunbender LLC,1,2,65146,Solar Energy Specialist,MA,50.0
Sunbelt Solomon Services,1,1,95098,Program Engineer,TX,100.0
"Sunlighten, Inc.",1,2,85000,Business Intelligence - Data Analyst,KS,50.0
The Ayn Rand Institute: The Center for the Advancement of Objectivism,1,1,121638,Information Architect,CA,100.0
Sunrise Hotel and Suites LLC,1,1,62000,Hospitality Technology & Business Intelligence Analyst,NV,100.0
"Sunny Sky Products, LLC",1,1,102500,Business Intelligence Manager,TX,100.0
Sunrise Hospital and Medical Center,1,1,469000,Physician (Plastic Surgeon),NV,100.0
Sunrise Foods International (USA) Inc.,1,1,90000,Logistics and Operations Analyst,IL,100.0
"Sunrise Food Trading, Inc.",1,1,85400,Business Analyst,NJ,100.0
The Arthur Page Society ,1,1,84411,"Senior HR, Finance Specialist",NY,100.0
"Sunrise Erectors, Inc.",1,1,182000,Project Manager,MA,100.0
Sunrider International,1,1,126949,Sr. Oracle Applications Developer,CA,100.0
The Asia Foundation,1,1,83174,Senior Program Officer,CA,100.0
The Aspen Institute,1,1,81125,Executive Associate,DC,100.0
"The Assay Depot, Inc.",1,1,145000,Senior Data Scientist,CA,100.0
The Associated Press,1,1,158791,Senior Software Engineer,NY,100.0
The Association of Former Students at Texas A&M,1,1,45094,Financial Accountant I,TX,100.0
The Astrodyne Corporation,1,1,112489,Electrical Engineer  I,NJ,100.0
The Atlantic House LLC,1,1,79955,Accountant,RI,100.0
The Automation Space LLC,1,1,72051,Software Developer,TX,100.0
"Suno, Inc.",1,1,185000,Data Engineer,MA,100.0
The Avalon Academy,1,1,88147,Special Education Teacher,CA,100.0
Sunnyside Presbyterian Home,1,1,93600,Physical Therapist,VA,100.0
"Seven Seas International, LLC",1,1,69100,IT Analyst,PA,100.0
Trusval Technology USA LLC,1,1,92900,Compliance and 3rd Party Contract Manager,AZ,100.0
"WISETEK PROVIDERS, INC.",1,1,101250,Quality Assurance Cosnultant,DC,100.0
VerdaCrop Agri-Tech LLC,1,1,118144,Sales and Marketing Manager,TX,100.0
"Vera Therapeutics, Inc.",1,1,277530,"Senior Director, Strategic Insights and Analytics",CA,100.0
SAI CONSULTING SERVICES INC,1,1,102000,SOFTWARE ENGINEER,OH,100.0
Veranex Inc,1,1,103372,Software Engineer 2,RI,100.0
SAHASRA TECHNOLOGIES LLC,1,1,86965,Network Engineer,TX,100.0
Verb Surgical Inc.,1,1,250000,Sr. Principal MLOPS Engineer,CA,100.0
"SAGE Veterinary Centers, LP",1,1,137155,Veterinarian,CA,100.0
"Vercara, LLC",1,1,163200,DevOps Engineer,VA,100.0
"Vercept AI, Inc.",1,1,178006,Research Scientist,WA,100.0
"Verdagy, Inc.",1,2,115000,Research Associate,CA,50.0
"Vericol, LLC",1,1,138798,Senior Data Scientist,VA,100.0
Verdant Specialty Solutions US LLC,1,1,185000,Global Procurement Director,IL,100.0
Verde Nutra Corporation,1,1,78042,Electrical Control Engineer,FL,100.0
"Verde Tech Systems, Inc.",1,7,88500,Data Engineer,AZ,14.3
Verdeco Plastics Inc. ,1,1,89440,Operations Research Analyst ,IL,100.0
SAFFRON KITCHEN INC,1,1,59717,Curriculum and Instruction Director,UT,100.0
SAFFRON DEVELOPMENT LLC,1,1,100000,ENGINEERING PROJECT MANAGER,TN,100.0
SAFEbuilt LLC,1,1,114400,"Engineer, Plans Check",CA,100.0
"SAFELOG, Inc.",1,1,78000,Solution Designer,MI,100.0
SAI IT Corp,1,1,106995,Application Security Engineer,TX,100.0
Vera Realty LLC,1,1,191360,Chief Financial Officer,FL,100.0
Vera Investment Partners LLC,1,1,133619,Chief Investment Officer,CA,100.0
Vera Aqua Vera Vita,1,1,63398,Peru Projects and Programs Director,TX,100.0
SAINT ANDREW ELEMENTARY,1,1,70000,"Director of Public Relations, Endowment",CA,100.0
SAINSTORE INC,1,1,140000,SOFTWARE DEVELOPER,VA,100.0
"Ventis Medical, Inc.",1,1,100000,Manufacturing Engineer,NJ,100.0
Ventura International Ltd.,1,1,110400,Brand Manager,FL,100.0
VentureDive LLC,1,2,201323,Vice President-Data & AI,CA,50.0
"Ventus Therapeutics U.S., Inc.",1,1,225000,"Senior Director, Clinical Data Management",MA,100.0
Venus Concept USA Inc,1,1,107000,Quality Control Engineer,CA,100.0
"Venus Concept USA, Inc.",1,1,230000,"Manager, Robotics and Automation",CA,100.0
VeoRide Inc,1,1,95000,Data Analyst II,CA,100.0
SAIC Ventures LLC,1,1,69336,Business Analyst,CA,100.0
SAI360 INC,1,1,149402,"SENIOR MANAGER, CUSTOMER SUPPORT",GA,100.0
SAI-Med Partners LLC,1,1,100000,Life Sciences Markets Consultant/Project Manager,PA,100.0
"SAI Systems International, Inc.",1,1,102232,Clinical Database Analyst,CT,100.0
Veolia WTS USA Inc.,1,1,113850,"Senior Recruiter, CMS",TX,100.0
"Veolia Water New Jersey, Inc.",1,1,146000,PROJECT ENGINEER,NJ,100.0
"SAI KRUPA INTERNATIONAL, INC.",1,1,100000,Sales Manager,VA,100.0
"Veolia Water Technologies, Inc.",1,1,137117,PROCESS GROUP MANAGER,NC,100.0
"VergeSense, Inc.",1,1,160000,"Software Engineer, Automation, Data and Tooling",CA,100.0
"SAFAL PARTNERS, LLC",1,1,81266,DATA ANALYST,TX,100.0
Ventera Corporation,1,1,135000,Technical Consultant II,MD,100.0
S3 Infotech Solutions LLC,1,1,95000,Software Developer/ Application Engineer,GA,100.0
Verita Telecommunications Corporation,1,1,95000,OSP Engineer,MN,100.0
"Veritis Group, Inc.",1,1,105997,Software Developer,AZ,100.0
S4 CONSULTANTS INC,1,1,102814,QUALITY ANALYST,PA,100.0
S4 ANALYTICS LLC,1,1,85530,Programmer Analyst,TX,100.0
S3cloudsolutions LLC,1,1,74422,SOFTWARE ENGINEER,PA,100.0
"Verizon Value, INC",1,1,198656,Assoc Dir-Business Strategy,NJ,100.0
"S3Verse, LLC",1,1,147000,"IT Quality, CSV, Practice Head",SC,100.0
S3SOL INC,1,1,86923,Software QA Engineer,TX,100.0
"S3 Group, Inc.",1,1,130707,Supply Chain Consultant,GA,100.0
"Veridion Insurance Partners, LLC",1,1,135200,Software Development Engineer III,NJ,100.0
Vermont Agency of Transportation,1,1,57200,Civil Engineer I “ Construction & Structures,VT,100.0
S2 Solutions Co.,1,1,110000,PeopleSoft Developer,FL,100.0
"S1 Technology, LLC",1,1,55000,Technical Consultant,LA,100.0
"S.E.T. Pacific, Inc.",1,1,55182,Electrical Engineer,GU,100.0
Verra,1,1,109541,Project Manager/Business Analyst,NH,100.0
"Verrus, LLC",1,1,170000,"Senior Associate, Corporate Finance",CA,100.0
S.A.M Group of Services Inc,1,1,78000,Test Engineer,OH,100.0
"S-Square Systems, Inc.",1,2,82750,Computer Programmer for Quality Testing Automation,TX,50.0
S4 TECHNOSOFT CORPORATION,1,1,60000,Computer Programmer,TX,100.0
S4S Tech LLC,1,1,83300,SAP EWM Functional Consultant,MI,100.0
S4SOFT INC,1,1,90400,APPLICATION DEVELOPMENT ENGINEER,MO,100.0
Verisys Corporation,1,1,160000,Database Administrator,KS,100.0
Verif-y Inc.,1,1,150000,Technology Architect,PA,100.0
"Verifacto, Inc",1,1,130707,Senior Software Developer,GA,100.0
"Veriff, Inc.",1,1,200000,"Senior Manager, Corporate FP&A",CA,100.0
"Verility, Inc.",1,1,520000,Product Development Engineer,MA,100.0
Verinata Health Inc.,1,2,139455,Software Engineer,CA,50.0
"SABRE SYSTEMS, LLC",1,1,139360,Software Architect II,TX,100.0
"SABRE SYSTEMS, INC.",1,1,139360,Software Architect II,TX,100.0
SABIC AMERICAS LLC,1,1,146321,"SPECIALIST, GLOBAL REGULATORY AFFAIRS",TX,100.0
Veris LLC,1,1,67018,Senior Audit Associate,SC,100.0
"SAARMAN CONSTRUCTION, LTD",1,1,105000,ASST. PROJECT MANAGER,CA,100.0
Veris Technologies Inc.,1,1,250000,Senior Machine Learning Engineer,NY,100.0
"SAAN INTERNATIONAL,LLC",1,1,109886,Product Security Engineer,TX,100.0
SAAJ Solutions LLC,1,1,85000,Business Analyst,PA,100.0
"SA Scientific, Ltd.",1,1,79326,Research Associate,TX,100.0
SA Consumer Products,1,1,77758,Industrial Designer II,PA,100.0
S9 Architecture and Engineering DPC,1,1,70000,Architectural Designer,NY,100.0
Veristat LLC,1,2,80850,SAS Programmer II,NC,50.0
"Venteur, Inc.",1,1,225000,Senior Software Engineer,CA,100.0
SAINT LUKE'S HEALTH SYSTEM,1,1,85738,Pharmacy Resident PGY2,MO,100.0
Versa AI Inc.,1,2,90000,Operations Manager,CA,50.0
SAROJ & MANJU INVESTMENTS LLC,1,1,88816,Chief Financial Officer,VA,100.0
Veear Projects Inc.,1,1,150000,Software Engineer,CA,100.0
"Veear Projects, Inc.",1,2,105612,Data Quality Analyst,TX,50.0
SAT SOLUTIONS LLC.,1,1,123656,SOLUTION ARCHITECT,NY,100.0
Veejay Associates Inc.,1,1,90002,Project Manager,NJ,100.0
"SASHIDHAR V GANTA, MD PA",1,1,160000,FAMILY MEDICINE PHYSICIAN,TX,100.0
SASA Management LLC,1,1,450000,Investment Partner,NY,100.0
SAS Retail Services LLC,1,1,138486,Lead Engineer ERP,CA,100.0
SAROJ K. KASTURI PA,1,1,85000,FINANCIAL PLANNING ANALYST,LA,100.0
"Veevx, Inc.",1,1,169250,Director of MRAM Design & CIM Engineering Research,AZ,100.0
"SAP Public Services, Inc.",1,1,154898,Business Processes Senior Consultant,TX,100.0
SAREEN & ASSOCIATES INC,1,1,70000,Accountant,VA,100.0
Vega Economic Consulting,1,1,123843,Consultant,CA,100.0
"Vegamour, Inc.",1,1,225000,"VP, Consumer Engagement",CA,100.0
Vegatek Corporation,1,1,155605,SOFTWARE ENGINEER,CA,100.0
"Vehicle Service Group, LLC",1,1,120048,OEM Account Manager - KBGFJG97561-4,IN,100.0
Vehtek Systems Inc.,1,2,105500,Assistant Maintenance Manager,OH,50.0
Vektor Medical Inc.,1,1,180000,Regional Clinical Director,FL,100.0
"Vela Tech, Inc.",1,1,140000,Sr. Financial Manager,CA,100.0
SATURN INFOSYSTEMS LLC,1,1,106080,Software Engineer,TX,100.0
Vedi42 LLC,1,1,96000,Software Development Engineer,NY,100.0
Vedanta Telecom LLC,1,1,92622,Network Engineer,WA,100.0
SAVANTIS INTELLI SOLUTIONS INC.,1,1,89814,WEB APPLICATION PROGRAMMER,NC,100.0
VecML Inc.,1,1,120000,Data Scientist,WA,100.0
"SBNB, INC.",1,1,81910,Infection Control & Research Program Coordinator,IL,100.0
Vector Media Group,1,1,123750,Senior Quality Assurance Engineer ,NJ,100.0
"SBM Offshore USA, Inc.",1,1,175749,Engineering Project Manager,TX,100.0
SBM Life Science Corp.,1,1,106454,"Associate Director, Regulatory Affairs",NC,100.0
"SBI CONSULTANTS, LLC",1,1,95000,Project Engineer,NY,100.0
SBI CONSULTANTS  LLC,1,1,115000,Assistant Project Manager,NY,100.0
SBE Vision Inc.,1,1,180000,Engineering Manager,MA,100.0
"Vector North America, Inc.",1,3,86469,Business Development Manager - E Mobility,MI,33.3
SBAS IT SYSTEMS INC,1,1,106558,SOFTWARE DEVELOPER,IL,100.0
"SBA NETWORK SERVICES, LLC",1,1,160000,"Principal Corporate Counsel, M&A",FL,100.0
"VectorGlobal WMG, Inc",1,1,98000,Financial Analyst,FL,100.0
SB HVAC Services Corp,1,1,115752,Financial Analyst,NY,100.0
Vectoria Inc.,1,1,230880,Senior Research Scientist,MA,100.0
SAVVY Technology Solutions LLC,1,1,82000,Software Developer,IL,100.0
SAVOY HOTEL PARTNERS LLC,1,1,85000,Assistant Director of Operations,FL,100.0
Veda Education Inc.,1,1,170000,Software Engineer,CA,100.0
Velan Valve United States OPCO Inc.,1,1,128357,Senior Sales Engineer,TX,100.0
"SAP International, Inc.",1,1,179400,Customer Success Partner Expert,FL,100.0
SAINTECH SOLUTIONS LLC.,1,1,100000,USER INTERFACE DESIGNER,GA,100.0
Venkateswara Pharmacy Inc,1,1,175000,Pharmacist In charge,NY,100.0
SAMPRASOFT LLC,1,1,101213,Sr.QA Automation Engineer,MD,100.0
"SAMPCS, INC.",1,1,81120,Senior Web Developer,CA,100.0
SAMP RX Inc.,1,1,87360,Regulatory and Compliance Analyst,NY,100.0
SAMFORD UNIVERSITY,1,2,81988,ASSOCIATE PROFESSOR OF MATHEMATICS,AL,50.0
SAMA CONSULTING INC.,1,1,178000,INFOR LN ERP ARCHITECT,NJ,100.0
SAM HOUSTON STATE UNIVERSITY,1,1,87876,Assistant Professor of Computer Science,TX,100.0
"SALUJA MEDICAL ASSOCIATES, P.A.",1,1,180960,Internal Medicine Physician,MD,100.0
"SALT Solutions, Inc.",1,1,71376,"Education Content Specialist, Actuarial",IA,100.0
SALT LANDSCAPE ARCHITECTS INC.,1,1,82000,Landscape Designer,CA,100.0
SAP Fioneer USA LLC,1,1,150000,Senior ABAP Developer,SC,100.0
"SALIENT MOTION, INC.",1,1,180000,SENIOR SOFTWARE ENGINEER,CA,100.0
"SAKS Technologies, Inc.",1,1,110000,Software Engineer/Scrum Master,GA,100.0
"SAKS TECHNOLOGIES, INC.",1,1,110000,SAP TECHNO FUNCTIONAL CONSULTANT,IL,100.0
SAKIN TECHNOLOGIES LLC,1,1,108000,Network and Computer Systems Administrators,CA,100.0
SAJO INC,1,1,64688,SENIOR ESTIMATOR,FL,100.0
SAITO LLP,1,1,75190,ACCOUNTANT,NY,100.0
SAISHAN Inc ,1,1,86278,Public Relations Specialist,CA,100.0
"Vensure Employer Services, Inc.",1,1,158360,Software Engineering Manager,AZ,100.0
SAMSON PHARMACEUTICALS INC,1,1,67413,MARKET RESEARCH ANALYST,CA,100.0
"SAMYANG LOGISTICS, INC.",1,1,93900,Logistics Operations Research Analyst,NJ,100.0
SAN MATEO - FOSTER CITY SCHOOL DISTRICT,1,1,68577,"SPECIAL EDUCATION TEACHER, ELEMENTARY",CA,100.0
"SAN Publisher Intelligence, Inc.",1,1,124800,Python Engineer,TN,100.0
SANYO MACHINE AMERICA CORPORATION,1,1,129808,Electrical Controls Engineer,MI,100.0
SANY America Inc.,1,1,76750,Mechanical Engineer,GA,100.0
SANSHA LAW OFFICE PLLC,1,1,60000,Associate Lawyer,TX,100.0
Velfare Technologies Inc,1,1,172931,Site Reliability Engineer,CA,100.0
Velico Medical Inc,1,1,100000,Business Development and Relationship Manager,MA,100.0
Velir Studios LLC,1,1,123000,Velir Studios LLC,MA,100.0
"Velo3D, Inc.",1,4,138684,Data Scientist,CA,25.0
Veloci Tech LLC,1,1,91000,Data Engineer,TX,100.0
Velocity Labs Inc. DBA Numeric,1,1,100000,Account Executive,NY,100.0
SANROSE INFORMATION SERVICES INC.,1,1,110000,APPLICATIONS DEVELOPMENT ANALYST,FL,100.0
SANQUEST INC,1,1,126880,SOFTWARE DEVELOPER,CA,100.0
Venbrook Group LLC,1,1,133534,Data Analytics Engineer,FL,100.0
"Venchi US, Inc.",1,1,90000,Trade Marketing Specialist,NY,100.0
SANIBEL PUBLIC LIBRARY DISTRICT,1,1,58781,REFERENCE LIBRARIAN,FL,100.0
SANDBOX NETWORKS INC.,1,1,137700,LEAD DRUPAL DEVELOPER,MA,100.0
SAN SOLUTIONS INC,1,1,113547,SOFTWARE ENGINEER,NC,100.0
"Vendor Credentialing Service, LLC ",1,1,145000,"DIRECTOR, PRODUCT MANAGEMENT",TN,100.0
S-RM INTELLIGENCE AND RISK CONSULTING LLC,1,1,147000,"SENIOR ASSOCIATE, INCIDENT RESPONSE",PA,100.0
"S&Z North America, Inc.",1,2,76000,Senior Sustainability Specialist,NY,50.0
"Ron Wright & Associates/Architects, P.S.",1,1,85000,Architectural Designer,WA,100.0
"Rotor Technologies, Inc.",1,1,120000,Sales director,NH,100.0
"Viasat, Inc.",1,1,163197,Technical Support Manager,CA,100.0
RoundGlass Partners LLC DBA RoundGlass LLC,1,1,85000,Lead Marketing & Partnerships,NJ,100.0
RoundGlass Partners LLC,1,1,140000,Lead-Product Management,WA,100.0
Vibrant Sciences LLC,1,1,178006,ELECTRICAL ENGINEER,CA,100.0
"Round One, Inc.",1,1,189592,"Director, Backend Engineering",NY,100.0
Rouge Mocap Inc.,1,1,65454,3D Character Modeler,CA,100.0
Vibrant Tech LLC,1,1,67000,Application Developer Senior,KY,100.0
Rottet Studio LLC,1,1,75000,D4 level designer,NY,100.0
"Roto Frank of America, Inc.",1,1,85000,Compliance and Legal Specialist,CT,100.0
"Victims of Communism Memorial Foundation, Inc.",1,1,107900,Associate Director of China Studies,DC,100.0
"Roto Architects, Inc.",1,1,72210,Architectural Designer,CA,100.0
"Rothy's, Inc.",1,3,182700,"Senior Manager, Data Analytics",WA,33.3
Rothur Tech Inc.,1,1,130000,Senior Software Developer,VA,100.0
"Roth Industries, LLC",1,1,135000,Director of Quality and Regulatory Affairs,CO,100.0
Rotex Global LLC,1,1,90000,"Strategic Sourcing Specialist, Global Supply Management(GSM)",OH,100.0
"Vici Voice, Inc.",1,1,112923,Software Engineer,TX,100.0
Rotate8,1,1,135000,Robotics Engineer,CA,100.0
Rosy Blue Inc.,1,2,81000,Market Research Analyst,NY,50.0
Rouse Services LLC  ,1,1,132579,Product Manager,CA,100.0
"Viam, Inc.",1,2,200000,Senior Robotics Engineer ,NY,50.0
"Route App, Inc.",1,1,155189,Technical Account Manager,NJ,100.0
Vialex Law P.A.,1,1,100000,Associate Attorney,FL,100.0
"Veyer, LLC",1,2,96928,"Manager, SC Analytics",GA,50.0
Royal Interpack Midwest Inc,1,1,131863,Operation Research Analyst,IN,100.0
"Royal Dynasty US Restaurant Management, Inc. ",1,1,80891,Lead Graphic Designer,CA,100.0
"Via Separations, Inc.",1,1,110000,Senior Process Engineer I,MA,100.0
Royal Bank of Canada (US),1,2,135000,Corporate Banking Associate - KBGFJG371906-1,NY,50.0
ViaBot Inc.,1,1,221256,Senior Robotics Software Engineer,CA,100.0
"Royal American Construction Company, Inc.",1,1,94125,Project Engineer,FL,100.0
Roy Municipal Schools,1,1,55220,High School Math Teacher,NM,100.0
"Roy Jorgensen Associates, Inc",1,1,77293,Senior Business Intelligence Engineer,TX,100.0
"Roxul USA, Inc.",1,1,87000,Pricing Analyst,IL,100.0
Rowling & Associates LLC,1,1,95000,Financial Planner (Wealth Advisor),CA,100.0
Rowetek Solutions LLC,1,1,120640,Senior Technical Analyst,MI,100.0
Rowan-Cabarrus Community College,1,1,44824,English as a Second Language Instructor,NC,100.0
"ViaForensics, LLC",1,1,163500,"Senior Manager, Application Security",MD,100.0
"Rowan Management Co., LLC",1,1,136000,Energy Development Lead,WI,100.0
Rowan County Board of Education,1,1,45900,High School Science Teacher,NC,100.0
"Viaduct, Inc",1,1,200000,Data Scientist,CA,100.0
"Vicksburg Healthcare, LLC",1,1,325000,Hospitalist,MS,100.0
Roswell Independent School District,1,1,65508,Elementary Teacher,NM,100.0
Royal Live Oaks Academy,1,1,31200,Middle School Teacher,SC,100.0
Roosevelt University,1,1,69618,Senior Finance and Operations Systems Specialist,IL,100.0
"Victoria's Secret Service Company, LLC",1,1,105000,"Senior Manager, International Partner Ecommerce",OH,100.0
Roots Community Health Center,1,1,54080,Program Specialist,CA,100.0
"Victoria's Secret Stores, LLC",1,1,105000,Senior Demand & Deployment Analyst,OH,100.0
Root Financial Inc,1,1,130187,Management Analyst / CEO,CA,100.0
"Victory Business Solutions, Inc",1,1,105997,Software Developer,AZ,100.0
Victory Capital Management Inc.,1,1,93500,Data Scientist,TX,100.0
Root Cause Institute,1,1,64000,Associate - Market Research Analyst,MA,100.0
"Rooster Technologies, Inc.",1,1,175000,Full Stack Developer ,TX,100.0
"Victory Live, Inc.",1,1,170000,Automation Engineer,TX,100.0
Roswell Animal Care LLC,1,1,156000,Veterinarian,GA,100.0
"Victory Maritime Services, USA",1,1,57200,Logistics Specialist,CA,100.0
Roofscapes Inc.,1,1,72114,Senior Landscape Designer and Director of Visualization,PA,100.0
"Ronit Systems, Inc.",1,1,105976,Software Developer,TX,100.0
Ronit Systems Inc.,1,1,92000,Software Developer,TX,100.0
"Rondo Energy, Inc.",1,1,202000,Staff Mechanical Engineer,CA,100.0
"Ronald H. Hsu, DDS, MS, PLLC",1,1,189758,Associate Pediatric Dentist,WA,100.0
Victory Physical Therapy PC,1,1,100000,PHYSICAL THERAPIST,NY,100.0
"Ronald E Blanco-Quant, M.D.",1,1,200000,Obstetrics Physician,TX,100.0
"Roots Multi Clean, Inc.",1,1,82576,Manufacturing Engineer,AL,100.0
"Victoria's Secret Direct Brand Management, LLC",1,2,140000,"Director, Digital Products",OH,50.0
Rootshell Enterprise Technologies Inc.,1,1,132579,Sr. Software Engineer,CA,100.0
"Rootshell Enterprise Technologies, Inc.",1,1,102752,Oracle CPQ Developer,LA,100.0
Ross-Tarrant Inc,1,1,70000,Project Coordinator,KY,100.0
Ross Recruiting Inc. d/b/a JBL Resources,1,1,108243,Manufacturing Engineer,WA,100.0
Victor Mokuolu CPA PLLC,1,1,77085,Experienced Audit- Associate,TX,100.0
RoslinCT US Holdings LLC,1,1,110000,Quality Control Digitalization Lead,MA,100.0
Rosewood Investment Corp.,1,1,150000,Senior Associate,NY,100.0
Rosenex,1,1,111488,CEO & Principal Engineer,CA,100.0
Rosendin Electric Inc.,1,1,81827,Assistant Project Manager,AZ,100.0
"Victor Mokuolu, CPA LLC",1,1,62400,Experienced Staff - Audit & Assurance,TX,100.0
Rosenblatt Securities Inc.,1,1,200000,Managing Director,NY,100.0
Rose Import and Export Inc.,1,1,76544,Financial Manager,IL,100.0
Rose Hill Psychological Services PC,1,1,75358,Thepapist,NY,100.0
Rose Hill Montessori Corp.,1,1,50960,Lead Teacher,NY,100.0
Rose Dental PLLC,1,1,144000,Associate Dentist,NH,100.0
Victoria Financial Corp.,1,1,75400,Credit Analyst,CA,100.0
Rosalind Franklin University of Medicine & Science,1,1,126000,Assistant Professor,IL,100.0
"Rosa Consulting Engineers, D.P.C.",1,1,88000,Project Engineer,CA,100.0
"Rorze Automation, Inc.",1,1,170100,Distinguished Engineer,CA,100.0
Royal Interpack of Midwest Inc,1,1,131864,Market Research Analyst,IN,100.0
"Royalty Family, Inc.",1,1,65000,IT - Media Technician,CA,100.0
S&W Payroll Services LLC d/b/a Netchex,1,1,84000,Report Engineer II,LA,100.0
Ryke Labs LLC,1,1,100000,Growth Marketing Manager,TX,100.0
Vertical Horizons Power Innovations Inc.,1,1,170000,Senior Semiconductor Device Engineer,MA,100.0
S GROVER CPA PLLC,1,1,114000,ACCOUNTANT,NY,100.0
S & Y TECHNOLOGY INC,1,1,94973,Senior Accountant,NY,100.0
Vertical Staffing Corporation ,1,1,77979,Physical Therapist ,NY,100.0
"S & F Convenience, Inc.",1,1,60403,Group Accountant,TX,100.0
"Vertical/Trigen Holdings, LLC",1,1,5585545,Production Manager,GA,100.0
Rythmos Inc.,1,1,125000,Data Warehousing Developer,TX,100.0
Ryther,1,1,59712,Child and Family Therapist,WA,100.0
Rycon Construction Inc.,1,1,115000,Project Manager,TX,100.0
Vescom America Inc.,1,1,72093,Supply Chain Analyst,NC,100.0
"Ryan Engineering, Inc",1,1,96782,PROJECT ENGINEER,AR,100.0
"Ryan Companies US, Inc.",1,1,93000,Senior Project Engineer,GA,100.0
Ryan Biggs Clark Davis Engineering,1,1,78000,Design Engineer,NY,100.0
"RyTek Medical, Inc.",1,1,79373,Biomedical Engineer,NH,100.0
RxWellness Spine & Health - Vienna Oakton LLC,1,1,100000,Associate Chiropractic Doctor,MD,100.0
"RxBenefits, Inc.",1,1,139194,Software Engineer IV,AL,100.0
"Veryfi, Inc.",1,1,200000,Principal Machine Learning Engineer,CA,100.0
Rx Transport LLC,1,1,68640,Supply Chain Managers,IL,100.0
Vertical Blue LLC,1,1,148500,Data Scientist Consultant,NY,100.0
S Tech US LLC,1,1,120000,System Architect,GA,100.0
"Vertical Aviation International, Inc.",1,1,500000,President & Chief Executive Officer (CEO),VA,100.0
S Yu and Associates PC,1,1,68848,Accountant,TX,100.0
S&W Payroll Services LLC,1,1,70720,"Director, Go To Market Development",LA,100.0
"Versa Integrated Solutions, Inc.",1,1,157500,Senior UCC Engineer,MD,100.0
S&S Truck Parts LLC,1,1,70886,Financial Analyst,IN,100.0
"Versable AI, Inc.",1,1,120224,Sales Director,TN,100.0
Versaflair LLC,1,1,110000,Senior Consultant,TX,100.0
S&S K4va LLC,1,1,85990,Director of Business Development,AZ,100.0
